Unnamed: 0,X,id,date,time,name,size,type,price,month_name
55,55,2015-000019,2015-01-01,13:59:09,sicilian,L,supreme,20.25,January
56,56,2015-000019,2015-01-01,13:59:09,ital_cpcllo,L,classic,20.5,January
57,57,2015-000020,2015-01-01,14:03:08,five_cheese,L,veggie,18.5,January
58,58,2015-000020,2015-01-01,14:03:08,big_meat,S,classic,12.0,January
59,59,2015-000021,2015-01-01,14:14:29,ital_cpcllo,L,classic,20.5,January
60,60,2015-000022,2015-01-01,14:16:26,ital_cpcllo,M,classic,16.0,January
61,61,2015-000022,2015-01-01,14:16:26,southw_ckn,L,chicken,20.75,January
62,62,2015-000022,2015-01-01,14:16:26,five_cheese,L,veggie,18.5,January
63,63,2015-000023,2015-01-01,14:19:03,southw_ckn,S,chicken,12.75,January
64,64,2015-000024,2015-01-01,14:23:01,ital_cpcllo,M,classic,16.0,January
65,65,2015-000024,2015-01-01,14:23:01,pepperoni,M,classic,12.5,January
66,66,2015-000024,2015-01-01,14:23:01,prsc_argla,S,supreme,12.5,January
67,67,2015-000024,2015-01-01,14:23:01,bbq_ckn,M,chicken,16.75,January
68,68,2015-000025,2015-01-01,14:44:44,thai_ckn,L,chicken,20.75,January
69,69,2015-000025,2015-01-01,14:44:44,sicilian,M,supreme,16.25,January
70,70,2015-000026,2015-01-01,14:54:26,classic_dlx,S,classic,12.0,January
71,71,2015-000026,2015-01-01,14:54:26,veggie_veg,L,veggie,20.25,January
72,72,2015-000027,2015-01-01,15:11:17,bbq_ckn,L,chicken,20.75,January
73,73,2015-000027,2015-01-01,15:11:17,spinach_fet,L,veggie,20.25,January
74,74,2015-000027,2015-01-01,15:11:17,classic_dlx,M,classic,16.0,January
75,75,2015-000028,2015-01-01,15:35:46,ckn_alfredo,S,chicken,12.75,January
76,76,2015-000029,2015-01-01,15:41:01,green_garden,S,veggie,12.0,January
77,77,2015-000030,2015-01-01,15:41:25,thai_ckn,L,chicken,20.75,January
78,78,2015-000031,2015-01-01,15:50:18,mexicana,M,veggie,16.0,January
79,79,2015-000031,2015-01-01,15:50:18,pepperoni,S,classic,9.75,January
80,80,2015-000032,2015-01-01,15:53:18,ital_cpcllo,L,classic,20.5,January
81,81,2015-000032,2015-01-01,15:53:18,green_garden,L,veggie,20.25,January
82,82,2015-000032,2015-01-01,15:53:18,big_meat,S,classic,12.0,January
83,83,2015-000032,2015-01-01,15:53:18,ital_supr,M,supreme,16.5,January
84,84,2015-000033,2015-01-01,15:54:08,bbq_ckn,L,chicken,20.75,January
85,85,2015-000033,2015-01-01,15:54:08,green_garden,S,veggie,12.0,January
86,86,2015-000034,2015-01-01,16:21:21,the_greek,S,classic,12.0,January
87,87,2015-000035,2015-01-01,16:32:04,pepperoni,M,classic,12.5,January
88,88,2015-000035,2015-01-01,16:32:04,pep_msh_pep,L,classic,17.5,January
89,89,2015-000035,2015-01-01,16:32:04,thai_ckn,L,chicken,20.75,January
90,90,2015-000035,2015-01-01,16:32:04,green_garden,M,veggie,16.0,January
91,91,2015-000036,2015-01-01,16:54:09,bbq_ckn,M,chicken,16.75,January
92,92,2015-000036,2015-01-01,16:54:09,classic_dlx,M,classic,16.0,January
93,93,2015-000037,2015-01-01,16:56:09,mexicana,L,veggie,20.25,January
94,94,2015-000037,2015-01-01,16:56:09,ital_supr,L,supreme,20.75,January
95,95,2015-000038,2015-01-01,17:03:00,ital_cpcllo,L,classic,20.5,January
96,96,2015-000038,2015-01-01,17:03:00,hawaiian,S,classic,10.5,January
97,97,2015-000039,2015-01-01,17:07:23,ital_supr,L,supreme,20.75,January
98,98,2015-000040,2015-01-01,17:14:36,southw_ckn,S,chicken,12.75,January
99,99,2015-000040,2015-01-01,17:14:36,four_cheese,L,veggie,17.95,January
100,100,2015-000041,2015-01-01,17:15:20,green_garden,S,veggie,12.0,January
101,101,2015-000041,2015-01-01,17:15:20,four_cheese,M,veggie,14.75,January
102,102,2015-000042,2015-01-01,17:28:09,big_meat,S,classic,12.0,January
103,103,2015-000042,2015-01-01,17:28:09,five_cheese,L,veggie,18.5,January
104,104,2015-000042,2015-01-01,17:28:09,peppr_salami,M,supreme,16.5,January
105,105,2015-000042,2015-01-01,17:28:09,mexicana,L,veggie,20.25,January
106,106,2015-000043,2015-01-01,17:38:34,ital_supr,M,supreme,16.5,January
107,107,2015-000043,2015-01-01,17:38:34,peppr_salami,L,supreme,20.75,January
108,108,2015-000043,2015-01-01,17:38:34,ckn_alfredo,M,chicken,16.75,January
109,109,2015-000044,2015-01-01,17:54:20,spin_pesto,S,veggie,12.5,January
110,110,2015-000045,2015-01-01,17:55:48,four_cheese,L,veggie,17.95,January
111,111,2015-000045,2015-01-01,17:55:48,hawaiian,S,classic,10.5,January
112,112,2015-000045,2015-01-01,17:55:48,thai_ckn,M,chicken,16.75,January
113,113,2015-000046,2015-01-01,18:25:51,thai_ckn,M,chicken,16.75,January
114,114,2015-000046,2015-01-01,18:25:51,ckn_pesto,L,chicken,20.75,January
115,115,2015-000046,2015-01-01,18:25:51,classic_dlx,L,classic,20.5,January
116,116,2015-000047,2015-01-01,18:26:34,veggie_veg,S,veggie,12.0,January
117,117,2015-000047,2015-01-01,18:26:34,southw_ckn,L,chicken,20.75,January
118,118,2015-000048,2015-01-01,18:26:42,prsc_argla,L,supreme,20.75,January
119,119,2015-000048,2015-01-01,18:26:42,spicy_ital,L,supreme,20.75,January
120,120,2015-000048,2015-01-01,18:26:42,green_garden,S,veggie,12.0,January
121,121,2015-000048,2015-01-01,18:26:42,ckn_pesto,M,chicken,16.75,January
122,122,2015-000049,2015-01-01,18:33:00,sicilian,L,supreme,20.25,January
123,123,2015-000050,2015-01-01,18:41:01,the_greek,XL,classic,25.5,January
124,124,2015-000051,2015-01-01,18:48:28,bbq_ckn,L,chicken,20.75,January
125,125,2015-000051,2015-01-01,18:48:28,pep_msh_pep,L,classic,17.5,January
126,126,2015-000052,2015-01-01,18:53:02,spicy_ital,L,supreme,20.75,January
127,127,2015-000052,2015-01-01,18:53:02,mexicana,L,veggie,20.25,January
128,128,2015-000052,2015-01-01,18:53:02,hawaiian,L,classic,16.5,January
129,129,2015-000053,2015-01-01,18:54:17,pep_msh_pep,S,classic,11.0,January
130,130,2015-000053,2015-01-01,18:54:17,spinach_supr,M,supreme,16.5,January
131,131,2015-000054,2015-01-01,19:01:45,prsc_argla,M,supreme,16.5,January
132,132,2015-000054,2015-01-01,19:01:45,thai_ckn,L,chicken,20.75,January
133,133,2015-000055,2015-01-01,19:03:19,peppr_salami,S,supreme,12.5,January
134,134,2015-000055,2015-01-01,19:03:19,spicy_ital,L,supreme,20.75,January
135,135,2015-000056,2015-01-01,19:07:00,southw_ckn,M,chicken,16.75,January
136,136,2015-000056,2015-01-01,19:07:00,classic_dlx,M,classic,16.0,January
137,137,2015-000056,2015-01-01,19:07:00,mediterraneo,L,veggie,20.25,January
138,138,2015-000057,2015-01-01,19:10:51,classic_dlx,M,classic,16.0,January
139,139,2015-000058,2015-01-01,19:30:40,five_cheese,L,veggie,18.5,January
140,140,2015-000058,2015-01-01,19:30:40,pepperoni,M,classic,12.5,January
141,141,2015-000059,2015-01-01,19:40:08,pep_msh_pep,S,classic,11.0,January
142,142,2015-000059,2015-01-01,19:40:08,pepperoni,L,classic,15.25,January
143,143,2015-000059,2015-01-01,19:40:08,ital_veggie,S,veggie,12.75,January
144,144,2015-000060,2015-01-01,20:05:16,ckn_pesto,L,chicken,20.75,January
145,145,2015-000060,2015-01-01,20:05:16,four_cheese,M,veggie,14.75,January
146,146,2015-000061,2015-01-01,20:08:43,ital_supr,L,supreme,20.75,January
147,147,2015-000061,2015-01-01,20:08:43,bbq_ckn,M,chicken,16.75,January
148,148,2015-000062,2015-01-01,20:50:16,spinach_supr,M,supreme,16.5,January
149,149,2015-000062,2015-01-01,20:50:16,bbq_ckn,M,chicken,16.75,January
150,150,2015-000063,2015-01-01,20:51:42,pep_msh_pep,M,classic,14.5,January
151,151,2015-000064,2015-01-01,20:52:08,big_meat,S,classic,12.0,January
152,152,2015-000065,2015-01-01,21:16:00,spinach_supr,M,supreme,16.5,January
153,153,2015-000065,2015-01-01,21:16:00,pep_msh_pep,S,classic,11.0,January
154,154,2015-000065,2015-01-01,21:16:00,sicilian,S,supreme,12.25,January
155,155,2015-000065,2015-01-01,21:16:00,spicy_ital,S,supreme,12.5,January
156,156,2015-000066,2015-01-01,21:47:55,classic_dlx,M,classic,16.0,January
157,157,2015-000066,2015-01-01,21:47:55,ital_cpcllo,M,classic,16.0,January
158,158,2015-000067,2015-01-01,22:03:40,southw_ckn,L,chicken,20.75,January
159,159,2015-000068,2015-01-01,22:07:32,ital_supr,L,supreme,20.75,January
160,160,2015-000068,2015-01-01,22:07:32,classic_dlx,M,classic,16.0,January
161,161,2015-000068,2015-01-01,22:07:32,ital_supr,M,supreme,16.5,January
162,162,2015-000069,2015-01-01,22:12:13,bbq_ckn,L,chicken,20.75,January
163,163,2015-000070,2015-01-02,11:38:51,soppressata,L,supreme,20.75,January
164,164,2015-000070,2015-01-02,11:38:51,ital_veggie,S,veggie,12.75,January
165,165,2015-000071,2015-01-02,11:40:50,thai_ckn,L,chicken,20.75,January
166,166,2015-000072,2015-01-02,11:57:25,spinach_fet,L,veggie,20.25,January
167,167,2015-000073,2015-01-02,11:58:56,thai_ckn,S,chicken,12.75,January
168,168,2015-000074,2015-01-02,12:01:12,mexicana,L,veggie,20.25,January
169,169,2015-000074,2015-01-02,12:01:12,spin_pesto,S,veggie,12.5,January
170,170,2015-000074,2015-01-02,12:01:12,spinach_supr,L,supreme,20.75,January
171,171,2015-000074,2015-01-02,12:01:12,five_cheese,L,veggie,18.5,January
172,172,2015-000075,2015-01-02,12:10:15,napolitana,L,classic,20.5,January
173,173,2015-000075,2015-01-02,12:10:15,ital_supr,S,supreme,12.5,January
174,174,2015-000075,2015-01-02,12:10:15,mediterraneo,L,veggie,20.25,January
175,175,2015-000076,2015-01-02,12:21:17,hawaiian,L,classic,16.5,January
176,176,2015-000076,2015-01-02,12:21:17,ital_veggie,L,veggie,21.0,January
177,177,2015-000076,2015-01-02,12:21:17,spicy_ital,L,supreme,20.75,January
178,178,2015-000076,2015-01-02,12:21:17,big_meat,S,classic,12.0,January
179,179,2015-000077,2015-01-02,12:22:46,hawaiian,M,classic,13.25,January
180,180,2015-000077,2015-01-02,12:22:46,bbq_ckn,M,chicken,16.75,January
181,181,2015-000078,2015-01-02,12:28:14,classic_dlx,S,classic,12.0,January
182,182,2015-000078,2015-01-02,12:28:14,spicy_ital,L,supreme,20.75,January
183,183,2015-000078,2015-01-02,12:28:14,spicy_ital,L,supreme,20.75,January
184,184,2015-000078,2015-01-02,12:28:14,thai_ckn,S,chicken,12.75,January
185,185,2015-000078,2015-01-02,12:28:14,four_cheese,L,veggie,17.95,January
186,186,2015-000078,2015-01-02,12:28:14,ital_cpcllo,M,classic,16.0,January
187,187,2015-000078,2015-01-02,12:28:14,spicy_ital,L,supreme,20.75,January
188,188,2015-000078,2015-01-02,12:28:14,big_meat,S,classic,12.0,January
189,189,2015-000079,2015-01-02,12:29:11,ital_cpcllo,L,classic,20.5,January
190,190,2015-000079,2015-01-02,12:29:11,thai_ckn,L,chicken,20.75,January
191,191,2015-000079,2015-01-02,12:29:11,pep_msh_pep,S,classic,11.0,January
192,192,2015-000080,2015-01-02,12:35:38,pepperoni,S,classic,9.75,January
193,193,2015-000080,2015-01-02,12:35:38,thai_ckn,M,chicken,16.75,January
194,194,2015-000081,2015-01-02,12:40:01,thai_ckn,L,chicken,20.75,January
195,195,2015-000082,2015-01-02,12:45:51,spicy_ital,L,supreme,20.75,January
196,196,2015-000082,2015-01-02,12:45:51,big_meat,S,classic,12.0,January
197,197,2015-000082,2015-01-02,12:45:51,cali_ckn,M,chicken,16.75,January
198,198,2015-000082,2015-01-02,12:45:51,veggie_veg,M,veggie,16.0,January
199,199,2015-000083,2015-01-02,12:53:27,southw_ckn,S,chicken,12.75,January
200,200,2015-000084,2015-01-02,13:13:41,pepperoni,L,classic,15.25,January
201,201,2015-000085,2015-01-02,13:34:49,classic_dlx,S,classic,12.0,January
202,202,2015-000085,2015-01-02,13:34:49,classic_dlx,M,classic,16.0,January
203,203,2015-000085,2015-01-02,13:34:49,ital_supr,L,supreme,20.75,January
204,204,2015-000085,2015-01-02,13:34:49,the_greek,M,classic,16.0,January
205,205,2015-000086,2015-01-02,13:40:31,hawaiian,L,classic,16.5,January
206,206,2015-000087,2015-01-02,14:01:02,mexicana,M,veggie,16.0,January
207,207,2015-000087,2015-01-02,14:01:02,ital_cpcllo,M,classic,16.0,January
208,208,2015-000087,2015-01-02,14:01:02,spinach_supr,S,supreme,12.5,January
209,209,2015-000087,2015-01-02,14:01:02,spinach_supr,L,supreme,20.75,January
210,210,2015-000088,2015-01-02,14:10:08,five_cheese,L,veggie,18.5,January
211,211,2015-000089,2015-01-02,14:30:19,thai_ckn,L,chicken,20.75,January
212,212,2015-000089,2015-01-02,14:30:19,soppressata,L,supreme,20.75,January
213,213,2015-000090,2015-01-02,15:08:48,thai_ckn,S,chicken,12.75,January
214,214,2015-000090,2015-01-02,15:08:48,sicilian,L,supreme,20.25,January
215,215,2015-000091,2015-01-02,15:14:43,bbq_ckn,L,chicken,20.75,January
216,216,2015-000091,2015-01-02,15:14:43,pepperoni,S,classic,9.75,January
217,217,2015-000091,2015-01-02,15:14:43,bbq_ckn,L,chicken,20.75,January
218,218,2015-000091,2015-01-02,15:14:43,ckn_pesto,S,chicken,12.75,January
219,219,2015-000092,2015-01-02,15:17:02,spinach_fet,S,veggie,12.0,January
220,220,2015-000092,2015-01-02,15:17:02,ital_supr,M,supreme,16.5,January
221,221,2015-000092,2015-01-02,15:17:02,peppr_salami,M,supreme,16.5,January
222,222,2015-000092,2015-01-02,15:17:02,bbq_ckn,M,chicken,16.75,January
223,223,2015-000092,2015-01-02,15:17:02,spinach_supr,S,supreme,12.5,January
224,224,2015-000092,2015-01-02,15:17:02,the_greek,M,classic,16.0,January
225,225,2015-000092,2015-01-02,15:17:02,ital_supr,L,supreme,20.75,January
226,226,2015-000092,2015-01-02,15:17:02,pepperoni,M,classic,12.5,January
227,227,2015-000092,2015-01-02,15:17:02,ital_veggie,S,veggie,12.75,January
228,228,2015-000092,2015-01-02,15:17:02,the_greek,M,classic,16.0,January
229,229,2015-000093,2015-01-02,15:29:31,sicilian,M,supreme,16.25,January
230,230,2015-000094,2015-01-02,16:17:16,ital_cpcllo,M,classic,16.0,January
231,231,2015-000094,2015-01-02,16:17:16,southw_ckn,S,chicken,12.75,January
232,232,2015-000095,2015-01-02,16:18:04,peppr_salami,L,supreme,20.75,January
233,233,2015-000095,2015-01-02,16:18:04,napolitana,S,classic,12.0,January
234,234,2015-000096,2015-01-02,16:21:20,napolitana,S,classic,12.0,January
235,235,2015-000097,2015-01-02,16:45:33,big_meat,S,classic,12.0,January
236,236,2015-000098,2015-01-02,17:18:18,napolitana,L,classic,20.5,January
237,237,2015-000098,2015-01-02,17:18:18,classic_dlx,L,classic,20.5,January
238,238,2015-000099,2015-01-02,17:45:42,ital_supr,L,supreme,20.75,January
239,239,2015-000100,2015-01-02,17:46:17,hawaiian,L,classic,16.5,January
240,240,2015-000101,2015-01-02,17:51:33,soppressata,L,supreme,20.75,January
241,241,2015-000101,2015-01-02,17:51:33,cali_ckn,L,chicken,20.75,January
242,242,2015-000101,2015-01-02,17:51:33,pepperoni,L,classic,15.25,January
243,243,2015-000101,2015-01-02,17:51:33,spicy_ital,M,supreme,16.5,January
244,244,2015-000102,2015-01-02,17:54:04,prsc_argla,S,supreme,12.5,January
245,245,2015-000102,2015-01-02,17:54:04,bbq_ckn,S,chicken,12.75,January
246,246,2015-000103,2015-01-02,18:02:09,spinach_supr,S,supreme,12.5,January
247,247,2015-000104,2015-01-02,18:02:12,veggie_veg,L,veggie,20.25,January
248,248,2015-000104,2015-01-02,18:02:12,bbq_ckn,M,chicken,16.75,January
249,249,2015-000104,2015-01-02,18:02:12,ital_veggie,M,veggie,16.75,January
250,250,2015-000104,2015-01-02,18:02:12,ckn_alfredo,M,chicken,16.75,January
251,251,2015-000105,2015-01-02,18:12:01,hawaiian,S,classic,10.5,January
252,252,2015-000105,2015-01-02,18:12:01,hawaiian,S,classic,10.5,January
253,253,2015-000105,2015-01-02,18:12:01,prsc_argla,M,supreme,16.5,January
254,254,2015-000105,2015-01-02,18:12:01,pepperoni,L,classic,15.25,January
255,255,2015-000106,2015-01-02,18:12:13,spicy_ital,L,supreme,20.75,January
256,256,2015-000106,2015-01-02,18:12:13,mexicana,L,veggie,20.25,January
257,257,2015-000107,2015-01-02,18:25:09,ital_supr,M,supreme,16.5,January
258,258,2015-000107,2015-01-02,18:25:09,cali_ckn,L,chicken,20.75,January
259,259,2015-000107,2015-01-02,18:25:09,veggie_veg,L,veggie,20.25,January
260,260,2015-000107,2015-01-02,18:25:09,spicy_ital,L,supreme,20.75,January
261,261,2015-000108,2015-01-02,18:25:25,hawaiian,L,classic,16.5,January
262,262,2015-000108,2015-01-02,18:25:25,classic_dlx,L,classic,20.5,January
263,263,2015-000108,2015-01-02,18:25:25,spinach_supr,L,supreme,20.75,January
264,264,2015-000109,2015-01-02,18:27:50,prsc_argla,L,supreme,20.75,January
265,265,2015-000109,2015-01-02,18:27:50,pepperoni,M,classic,12.5,January
266,266,2015-000109,2015-01-02,18:27:50,ital_cpcllo,L,classic,20.5,January
267,267,2015-000109,2015-01-02,18:27:50,ital_supr,L,supreme,20.75,January
268,268,2015-000110,2015-01-02,18:36:19,soppressata,L,supreme,20.75,January
269,269,2015-000110,2015-01-02,18:36:19,napolitana,L,classic,20.5,January
270,270,2015-000110,2015-01-02,18:36:19,big_meat,S,classic,12.0,January
271,271,2015-000110,2015-01-02,18:36:19,spicy_ital,S,supreme,12.5,January
272,272,2015-000111,2015-01-02,18:38:01,cali_ckn,M,chicken,16.75,January
273,273,2015-000111,2015-01-02,18:38:01,spin_pesto,L,veggie,20.75,January
274,274,2015-000111,2015-01-02,18:38:01,pepperoni,M,classic,12.5,January
275,275,2015-000111,2015-01-02,18:38:01,five_cheese,L,veggie,18.5,January
276,276,2015-000112,2015-01-02,18:41:40,pepperoni,S,classic,9.75,January
277,277,2015-000113,2015-01-02,18:50:21,cali_ckn,L,chicken,20.75,January
278,278,2015-000113,2015-01-02,18:50:21,southw_ckn,M,chicken,16.75,January
279,279,2015-000113,2015-01-02,18:50:21,mexicana,L,veggie,20.25,January
280,280,2015-000114,2015-01-02,18:59:32,pepperoni,L,classic,15.25,January
281,281,2015-000114,2015-01-02,18:59:32,sicilian,S,supreme,12.25,January
282,282,2015-000115,2015-01-02,19:05:17,thai_ckn,M,chicken,16.75,January
283,283,2015-000115,2015-01-02,19:05:17,big_meat,S,classic,12.0,January
284,284,2015-000115,2015-01-02,19:05:17,napolitana,L,classic,20.5,January
285,285,2015-000116,2015-01-02,19:18:49,five_cheese,L,veggie,18.5,January
286,286,2015-000117,2015-01-02,19:23:02,peppr_salami,M,supreme,16.5,January
287,287,2015-000117,2015-01-02,19:23:02,sicilian,L,supreme,20.25,January
288,288,2015-000118,2015-01-02,19:26:59,prsc_argla,L,supreme,20.75,January
289,289,2015-000118,2015-01-02,19:26:59,spinach_fet,S,veggie,12.0,January
290,290,2015-000119,2015-01-02,19:32:29,four_cheese,M,veggie,14.75,January
291,291,2015-000120,2015-01-02,19:35:07,spinach_fet,L,veggie,20.25,January
292,292,2015-000120,2015-01-02,19:35:07,hawaiian,S,classic,10.5,January
293,293,2015-000120,2015-01-02,19:35:07,classic_dlx,S,classic,12.0,January
294,294,2015-000121,2015-01-02,19:38:48,sicilian,L,supreme,20.25,January
295,295,2015-000121,2015-01-02,19:38:48,bbq_ckn,M,chicken,16.75,January
296,296,2015-000121,2015-01-02,19:38:48,southw_ckn,L,chicken,20.75,January
297,297,2015-000121,2015-01-02,19:38:48,four_cheese,L,veggie,17.95,January
298,298,2015-000122,2015-01-02,19:50:19,ital_supr,M,supreme,16.5,January
299,299,2015-000123,2015-01-02,20:12:09,ital_cpcllo,S,classic,12.0,January
300,300,2015-000124,2015-01-02,20:12:34,bbq_ckn,S,chicken,12.75,January
301,301,2015-000124,2015-01-02,20:12:34,the_greek,S,classic,12.0,January
302,302,2015-000124,2015-01-02,20:12:34,sicilian,L,supreme,20.25,January
303,303,2015-000124,2015-01-02,20:12:34,spicy_ital,L,supreme,20.75,January
304,304,2015-000125,2015-01-02,20:31:06,the_greek,XL,classic,25.5,January
305,305,2015-000126,2015-01-02,20:53:42,veggie_veg,L,veggie,20.25,January
306,306,2015-000127,2015-01-02,20:58:23,pepperoni,M,classic,12.5,January
307,307,2015-000128,2015-01-02,21:05:06,spicy_ital,S,supreme,12.5,January
308,308,2015-000129,2015-01-02,21:13:02,big_meat,S,classic,12.0,January
309,309,2015-000129,2015-01-02,21:13:02,the_greek,M,classic,16.0,January
310,310,2015-000130,2015-01-02,21:14:55,mexicana,M,veggie,16.0,January
311,311,2015-000130,2015-01-02,21:14:55,southw_ckn,S,chicken,12.75,January
312,312,2015-000130,2015-01-02,21:14:55,ital_cpcllo,L,classic,20.5,January
313,313,2015-000130,2015-01-02,21:14:55,hawaiian,S,classic,10.5,January
314,314,2015-000131,2015-01-02,21:33:10,spinach_supr,S,supreme,12.5,January
315,315,2015-000131,2015-01-02,21:33:10,five_cheese,L,veggie,18.5,January
316,316,2015-000131,2015-01-02,21:33:10,green_garden,S,veggie,12.0,January
317,317,2015-000131,2015-01-02,21:33:10,ckn_pesto,L,chicken,20.75,January
318,318,2015-000132,2015-01-02,21:42:45,pepperoni,S,classic,9.75,January
319,319,2015-000133,2015-01-02,22:00:17,bbq_ckn,L,chicken,20.75,January
320,320,2015-000133,2015-01-02,22:00:17,hawaiian,L,classic,16.5,January
321,321,2015-000133,2015-01-02,22:00:17,the_greek,S,classic,12.0,January
322,322,2015-000134,2015-01-02,22:13:24,southw_ckn,L,chicken,20.75,January
323,323,2015-000134,2015-01-02,22:13:24,spinach_supr,S,supreme,12.5,January
324,324,2015-000134,2015-01-02,22:13:24,big_meat,S,classic,12.0,January
325,325,2015-000135,2015-01-02,22:29:34,veggie_veg,L,veggie,20.25,January
326,326,2015-000136,2015-01-02,22:32:49,peppr_salami,S,supreme,12.5,January
327,327,2015-000136,2015-01-02,22:32:49,five_cheese,L,veggie,18.5,January
328,328,2015-000137,2015-01-03,11:34:10,mediterraneo,L,veggie,20.25,January
329,329,2015-000137,2015-01-03,11:34:10,spicy_ital,M,supreme,16.5,January
330,330,2015-000137,2015-01-03,11:34:10,pepperoni,S,classic,9.75,January
331,331,2015-000138,2015-01-03,11:44:50,ital_veggie,L,veggie,21.0,January
332,332,2015-000138,2015-01-03,11:44:50,sicilian,M,supreme,16.25,January
333,333,2015-000138,2015-01-03,11:44:50,four_cheese,L,veggie,17.95,January
334,334,2015-000138,2015-01-03,11:44:50,cali_ckn,M,chicken,16.75,January
335,335,2015-000139,2015-01-03,11:57:39,five_cheese,L,veggie,18.5,January
336,336,2015-000140,2015-01-03,12:26:44,veggie_veg,M,veggie,16.0,January
337,337,2015-000140,2015-01-03,12:26:44,prsc_argla,S,supreme,12.5,January
